Fon_Sentence,French_Translation
fí ɖĕ a ba sín ɔ́ măwù ná sɔ́ ɖó tɛn tɔn mɛ nú wè,dieu te le rendra
jo we nu mɛ,rendre la danse à quelqu'un d'autre
un j'ávalú nú mɛxó lɛ́,je rends hommage aux anciens
yèɖé nùsúnnú ɔ́,renforce la sauce
e blá kɔ́la bo ɖò kɔ̀ zyán wɛ̀,il a mis une cravate et il se rengorge
un jló ná kàn nùɖé byɔ́ wè,je voudrais te demander un renseignement
mi ɖo ama xuxu ɔ gbe wɛ,on rentre l'herbe séchée
ye wli ali ɖevo bo yì tò yetɔn mɛ,ils prirent une autre route pour rentrer dans leur pays
e hɛ̀n zɛ̀n ɔ̀ flí,il a renversé la jarre
jĭ ɖaxó nɔ́ mù agbadé káká,une forte pluie renverse les plants de maïs
zɛ̀n ɔ̀ flí xwè,la jarre s'est renversée
atín sɛ́ lɛ́ hlɛ́n,les fleurs de l'arbre se sont répandues par terre
klazín gbá kɔ́n nyì kɔ́ mɛ̀,le pétrole s'est répandu par terre
xó nɛ́ ɔ́ gba kpé tó,cette nouvelle s'est répandue partout
dawe mi hɛn ɔ mi na blo nu bi ɖo,monsieur nous pouvons tout réparer
mi nɔ blo gan ɖó,nous réparons des montres
é wá tófí bó lɛ́ yì,il est venu tout près et est reparti
awu ɔ́ do lílí,l'habit est repassé
un ɖo gan ɖee nɔ li nu ɔ yɔyɔ ɖevo,j'ai un nouveau fer à repasser
nù é wá ɔ́ vɛ́ n'í,il s'est repenti de ce qu'il a fait
xógbe a ɖɔ ɔ́ lɛ̀ vɔ́ ɖɔ́ má sè,répète le mot que tu as dit
e nɔ sɛ̀ vì dó,on replace bien l'enfant au dos
a na nɔ ɛ kɔ̀n,je te le laisse sous ta responsabilité
un sɔ́ vì ɔ́ d'ásí n'í,j'ai mis l'enfant sous sa responsabilité
e ko wlan wéma sè do mi a,il n'a pas encore répondu à ma lettre
e ylɔ́ wè hŭn nɔ sɔ̀,lorsqu'on t'appelle réponds
un ylɔ́ ɛ́ bɔ̀ é sɔ́ nú mì ă,je l'ai appelé et il ne m'a pas répondu
yi sè ylɔ́ tɔ̀n,va lui répondre
azàn ɔ̀ sún,le jour est reporté
gbɔjɛ'zán gbé cé wɛ̀,c'est mon jour de repos
é gbɔ́jɛ́ d'álɔ tè,il a fini de se reposer
atín è mì gbó ɔ́ lɛ́ ɖò wùwú wɛ̀,l'arbre que nous avons coupé repousse
ma lɛ wlí xó ó,ne reprends pas ton histoire
un na lɛ́ wá sɔ́ wé ɖò gan'tɔn mɛ̀,je viendrai te reprendre à trois heures
un blo afɔkpa ce le ɖo,j'ai reprisé mes chaussettes
ma kán ɖĕbù kpó wɛ̀ é nyí,c'est quelqu'un sans reproche
é vlɛ́ nu cè,cela me répugne
un ɖò gbɔ̌ ɖokpó sín kpasin bó ná dó ɖù xwè ná,j'ai un cabri en réserve pour faire la fête
kpɔ́n jɛ́n un na yí kpɔ́n ɛ̀,je vais me résigner à aller le voir
un gbɔ bo jó é dó ɖɔ̀ n'í bló,je me suis résigné à le laisser faire
e ló,c'est résistant
gàn élɔ́ nɔ́ ɖi gbè ganjí,cette cloche résonne bien
a ɖɔ̀ xó gbò ganjí,tu as bien résolu l'affaire
e lyá wŭ cè,il a manqué de respect envers moi
un j'ávalú wè,je te présente mes respects
dɔnkpɛ́vú fínnífínní wɛ̀,c'est un jeune homme qui se respecte
lee e nɔ nyi sɛn towe gbɔn ɖo sɛxwe ɔ,que la façon dont tes lois sont respectées au ciel
nyaví élɔ́ nɔ́ sí mɛ,cet enfant respecte la personne
e nɔ́ gbɔ́,il respire
un sɔ tuun nu un ɖo gbɛ nɔ ɖu nu nɔ ɖɔ xo a,je ne sais plus si je vis si je mange si je respire si je parle
é cí tɔ́ tɔ́n ɖɔ́hùn,il ressemble à son père
e hwɛ́n dɔ̆nkpɛ̀,il ressemble à un jeune homme
énɛ́ ɖo sin ce mɛ̀ ă,ce n'est pas de mon ressort
mɛ ɖè ná fɔ́n nú winnyá kpódó hɛ̆n mavɔ mavɔ kpó,certains ressusciteront pour la honte et la déchéance éternelles
nuɖutɛ ɖaxo toxo ɔ mɛ tɔn,le plus grand restaurant de la ville
azinzɔnnɔ ɔ syɛn wu,le malade reste fort
din ɔ nu atɔn ɖe lɛ kpo,nuɖiɖi nukunɖonu kpodo wanyinyi kpo
é gɔ̀n nù má ɖù,il est resté sans manger
e lɛ́ kpò,il en reste
e xɔ̀ sun ɖokpó ɖò fí,il est resté un mois ici
mi xwixwe,restez tranquilles
un gbɔ̀ bo na cí ayĭ,je me suis résigné à rester
un ɖé kwɛ́zínzán kpó nú nyiɖéé,je me suis imposé des restrictions sur les dépenses
xó nɛ́ lɛ́ bì dín wá yi saà,tous ces propos sont restés sans résultat
fúnfɔ́n sín kú wá gbɛ̀ klístu tɔ̀n,la résurrection du christ
a ɖò hwenu gbɔ wɛ̀,tu te mets en retard
hwenu ɖò díndìn dó wé wɛ̀,tu te mets en retard
mi na gbɔ hwenu din a nu mi o ɖo hun ɔ,nous n'aurions pas été en retard si nous avions pris le bus
é cí jĭ cè,il m'a retenu
é hɛn mì ɖó tè,il m'a retenu
afɔ ɖe lɛ ɖigbe ɖo escalier ɔ mɛ,des pas retentissent dans l'escalier
é ná jɛ̀ jĭ wè,cela retombera sur toi
flí wɔ̆,retourner le récipient pour en faire sortir la pâte
é yi vaxɔ̀,il est allé faire une retraite
ali ɔ xá,le chemin se rétrécit
é su sɔ̀ mì nà dó gò,demain nous nous retrouverons
e ɖŏ gbesɔ̀,il y a une réunion
kplé ɔ́ fàn,il y a eu du désordre dans la réunion
sín hwenu ɖĕ mì kplé ɔ́ é gɔ̀n xó ɖɔ̀ ă,depuis le commencement de la réunion il n'a pas cessé de parler
e dɔ̀n mì kplé,il nous a réunis
bo ɔ ɖi,le grigri a réussi
e na cɛ nu we,cela te réussira merci
gbè cɛ́ n'í,la chasse lui a réussi
yè bló nù ɔ́ b'ɛ́ fɛ́ wú,ils ont parfaitement réussi
fúnfɔ́n mɛ̀,au réveil
din jɛ́n vì ɔ́ fɔ́n,l'enfant vient de se réveiller
e fɔ́n jawùn,il s'est réveillé en sursaut
ɛɛn un fɔn,oui je suis réveillé
koklosu lɛ fɔn gletanu lɛ kpodo axwa yetɔn kpo,les coqs réveillent le village par leur cocorico
yi fɔ́n ɛ̀,va le réveiller
aklunɔ na wa wa,le seigneur reviendra
e kpácá dó mì,je n'en reviens pas
e yì dosu gɔ́n bó lɛ́ kɔ,il est allé chez dossu et il est revenu
to lĭ,le calme est revenu
yì bo ma ka sɔ́ lɛ́ wá ó,va et ne reviens plus
é sù gbe ɖé,au revoir
un xwe yi gbè oɖabɔ̀,je m'en vais au revoir
yĕ bĭ jɛ̀ hetè bó gbɛ́ ɖɔ̀ émí kún ná w'azɔ̀ ó,ils se sont tous révoltés et ont refusé de travailler
lɛnkpɔn ɖaxo d'e ɖo tagba do n'i wɛ,elle a un gros rhume
é jɛ dɔkun vininì,il est devenu très riche
un nya xɔmɛgbovɔ lɛ,j'ai lavé les rideaux de la chambre
a dɔn'dɔ̀n dó wùvɔ́,tu disputes pour rien
a sɔ́ ɖù axo ɖé dó mì ă,tu ne me dois plus rien
bo ka ɖɔ nu mɛsi ɔ a,mais ne dis rien à l'instituteur
e kpla mi yi xwegbe tlolo,elle m'a reconduit à la maison en un rien de temps
e nɔ wa nuti keze ɔ mɛ ă,il ne fait rien de la journée
e sù kú ă,ce n'est rien
e vɛ́ wŭ ă,ca ne fait rien
é xú asɔ bɛ́ dò,il ne peut plus rien dire
eo xɔntɔn ce wɛ,non rien c'est mon ami
mì má mɔ̀ nù jɛ́ mɛ́ nɛ́,nous n'y avons rien compris
un ba do kpo nà,je n'ai rien compris
un nɔ hɛ̀n nǔ ɖĕbǔ tamɛ̀ ă,je ne retiens rien
un sìxú kpɔ́n mɛ́ nú wè ă,je ne peux rien pour toi
e hwɛ́n tó cè,ça me fait rire
un gbɔ̀ bó húzú ɖɔkwe nú yĕ ɖò xwé ɔ́ gbè,j'ai a laissé et suis devenu la risée pour eux à la maison
un sìgán ɖ'ázan ă un táá ɖó nuvú,je ne puis fixer une date je risquerais de dire un mensonge
tɔsisa ɖagbe,une jolie rivière
sin ɔ́ ɖ'ayì kɔ́n nyí wɛ̀ zănzăn káká jɛ̀ hwemɛ̀,l'eau du robinet a coulé toute la journée
dada yi alada,le roi est allé à allada
mɛ ylɔ́ wè,le roi t'a appelé
xɔsu ɖaxo,grand roi
jezú zé wɔxúxú bó fɛ́n è,jésus prit le pain et le rompit
e cí toboò,c'est rond
hwan globotoo,un caillou rond
ye ɖo ta tɔngɔɔn bo ɖo adɔgo ɖaxo,ils ont une tête ronde et gros ventre
amŭ jà,il y a de la rosée
tlŏtlŏ nɔ́ gbà vă,le dindon fait la roue
e myá xɛɛ̀,c'est rouge vif
cavi kpo,la clef est rouillée
é blí zegedé,il s'est roulé par terre
yè blí awĭnnyà gidigbája ɖé dó sú yɔ ɔ́ ná,ils roulèrent une énorme pierre pour fermer le tombeau
nyɛ kpó tɔ́ cé kpó wá ɖu kosɔ ɖò agbăsa jí,j'ai rencontré mon père sur la route
sín hunjlò mɛ̀ ɔ hɔnmɛ lín kpɛɖé,le palais royal est à quelque distance du marché hunjlo
gbɛtɔ gege ɖo ali ɔ ji,il y a beaucoup de gens dans la rue
xwé élɔ́ kpò dòglín kɛ́ɖɛ́,cette maison n'a plus que des murs en ruine
ayìsún ɖo sisa wɛ̀,l'eau de ruissellement coule
we ɔ ɖyɔ́ afɔ̀,la danse à changé de rythme
e hínhɛ́n kɔ́ kɔ́n nyì xɔ̀ ɔ mɛ̀,il a répandu du sable dans la chambre
e fó xwé,on a saccagé la maison
yi sa vɔ,va offrir un sacrifice
nùnywɛ́tɔ́ wɛ̀,c'est un sage
akpa tɔn ɖò hùn ɖi wɛ̀,sa plaie saigne
lò ɔ́ hɛ̀n afɔ tɔn caà,le crocodile saisit son pied brusquement
jì hwénú,la saison des pluies
e na na mi azɔkwɛ ɖagbe,on vous donnera un bon salaire
avɔ ɔ́ gɔ̀,le pagne est irrémédiablement sale
jɛ ɖ'e mɛ̀ ă,ce n'est pas salé
nùvwínúvwí gɔ́ sin ɔ́ mɛ̀,l'eau est pleine de saletés
é hɛ̀n avɔ ɔ kwíjì,il a sali le pagne
azɔ xɔ wɛ,c'est une salle de classe
mi nɔ do gbe ɖayi amɔ din ɔ mi huzu kɛntɔ,nous nous saluions bien mais maintenant nous sommes des ennemis
un do gbe we maria,je te salue marie
kú cɛ́,salut pour le travail
kú d'é wú,salut pour ce que tu es en train de faire
ku d'ali,salut pour le voyage
kú dó ayisɔnmɔ,merci pour la fois passée
ku do sɔ,merci pour hier
kú dó zɔn,merci pour la commission
kú dó zɔnlìn,bonne marche
okú mɛdaxo,salut monsieur
e vi hùn,il a vomi du sang
a ná dɔ̆ nùɖúɖú gan wĕwe mɛ tɔn jí,tu iras dormir sans souper
aloka nu jɛn e nɔ ɖe,il est sans cesse au téléphone
e ɖo yiyi wɛ nyi mɛvo,il part sans moi
e na yi nyi mɛvo,il partira sans moi
e yi nyi mi vo,il est parti sans moi
nù é bló é ɔ́ un ma mɔ ɛ nɛ́,il l'a fait sans que je le voie
un nɔ w'àzɔ́ yayá,je travaille sans me faire payer
e víví nú mì ă,je ne suis pas en bonne santé
un ɖo ɖagbè,je suis en bonne santé
e ɖu nuɖuɖu tɔn bi,il mangea tout son saoul
é nù ahan mú bó nɔ́ dán gɔgɔ̀,il s'est saoulé et il bouge en titubant
é jɛ̀ mɛ̀ nú mì ganjí,je suis très satisfait
hwɛmɛsì wɛ̀ bɔ un dà,j'ai épousé une femme en satisfaisant à la justice
e nɔ wún nùsúnnú,on prend de la sauce
nùsúnnú blakasaa wɛ̀,c'est une sauce simple
yèɖé nùsúnnú ɔ́,assaisonne la sauce
cuku lɔn awajijɛ tɔn,le chien saute de joie
e zlɔ́n jɛ̀ agĕ,il a atterri en sautant
ðó é na hwlɛn togun tɔn gán sín hwɛ tɔn lɛɛ mɛ,car c'est lui qui sauvera son peuple de ses péchés
e hɔ́n dó mì,il s'est sauvé de moi à mon insu
é yí fánjí,il est allé dans la savane
e nyɔ́nŭì,il est savant
nà jó nùnywɛ́ cé nú mi,je vous donnerai mon savoir
un nywɛ́ ă,je ne savais pas
wă ɖɔ̀ xó ɔ́ xéɖéxéɖé má sè,bien me dire clairement l'affaire que je sache
nu gannyii wɛ,c'est un scandale
nuwíwá élɔ́ ɔ́ e sixú bló ɖó alɔkpà we jí,deux schémas de célébration sont possibles
mi yi ba do nú xó ɔ́ hlɛ́nhlɛ́n bó kpɔ́n ɖɔ̀ nùgbó wɛ́ áji,allez scruter le fond de ces dires attentivement et voyez si c'est vrai
gannú ɔ́ ɖúɖú sìn,le seau laisse couler l'eau
soo s'ánlɔ̀,l'anse du seau
é xú céké céké,il est bien sec
un xɔ̀ galí ɖ'axi mὲ b'έ ɖò yéɖéyéɖé,j'ai acheté du gari au marché et il est très sec
jɔhɔn hɛ̀n acɔ ce hlɛ́n,le vent a séché en partie mon pagne
cɛju ɖokpo,une seconde
e gbíjɔ́ gbadé'tí ɔ́,il a secoué le sac de maïs
é xo ɖɛ̀ dó vodún gɔ́n,il a demandé le secours du vodoun
un byɔ́ tenɔkpɔ́nmɛ măwŭ tɔ̀n,je demande le secours de dieu
nùvɛ́nŭ wɛ̀ e nɔ ɖɔ̀ ă,c'est un secret on ne peut le révéler
a lŭ mì,tu m'as séduit
é hwlán anɔkwín,elle a des seins qui commencent à pousser
un xɔ̀ azăn yɔywɛɖé ɖò kútɔ́nú,j'ai séjourné quelque temps à cotonou
jɛ hú gàn nùsúnnú ɔ́ mɛ̀,il y a trop de sel dans la sauce
nù dò hwénú,le temps des semailles
azăn kó nukún we gbè,dans trois semaines
é xɔ̀ mɔ̆to bo jɛ̀ nyĭ,il a acheté un semblant de voiture pour se faire un nom
e ɖò hwinyahwinya dó hɛ̀nnú ɔ́ mɛ́ wɛ̀,il sème la zizanie dans la famille
mi dò ní kpítí,semez dru
e tuwùn fí è xó ɔ́ nyi ta é ă,cela n'a pas de sens
mɔ̆ wɛ̀ ă aligbó wɛ̀,ce n'est pas un sentier c'est une route
gbe ɖokpo wa su bɔ e mɔ ku tɔn se ɖo bo ylɔ vi tɔn lɛ bo ɖɔ nu ye ɖɔ,un jour sentant la mort venir il appela ses enfants et leur dit
yè nɔ́ jɛ̀ kpɔ́ ă,ils ne peuvent se sentir
e jɛ́ mì ganjí,cela me sied très bien
un jló ná mɔ́ mi ɖokpó ɖokpó,je veux vous voir séparément
é ɖá yĕ,il les a séparés
e bɛ́ sín gan tɛ́nwe mɛ̀,il a commencé à sept heures
xwe sin sun tenwegɔ mɛ,le septième mois de l'année
azɔn gbɛ́ sìn,la maladie est devenue sérieuse
nŭjɔ̀nŭ wɛ̀,c'est sérieux
dan ɔ́ sun anyŭ,le serpent a mué
awu towe xá wé dín,ton habit te serre trop fort
gbadé ɔ́ kpítí dín,le maïs est semé trop serré
xɔntɔn lɛ kpe bo ɖo alɔ na e ɖe wɛ,les amis se rencontrent et se serrent la main
e gbɛ́ nyɔ̀ nú nɔ tɔ̀n,il a refusé de rendre service à sa mère
e d'alɔ mí tawùn,cela m'a bien servi
nyɛ ɔ́ xwè mɔ̀kpán ɖíe un ko ɖò sinsɛn we wɛ̀,voilà tant et tant d'années que je te sers
ðɔ̀ xó aklúnɔ̀ ɖó devi tówé ɖò tó ɖó wé wɛ̀,parle seigneur car ton serviteur écoute
e ɖò hɔnlihɛ́nnú,il est sur le seuil
azɔ̀n ɖokpó,une seule fois
e ɖò wɔ̀ cán wɛ̀,il mange la pâte toute seule
gbɛ̀ wɛ́ tuwùn,dieu seul le sait
hwi kɛ́ɖɛ́ wɛ́ nyɔ́,toi seul est bon
nu ɖokpo ɖe ye tuun bɔ nɔ wa n'ɛ sin,c'est la seule chose qu'elles savent leur faire
din tlóló w'ɛ́ bɛ́,cela vient seulement de commencer
enyí fínɛ́ wɛ̀ wɛ̀ é kó ɖ'é ɔ́,si seulement il était là
un jan do alɔ nu we kpowun wɛ,j'essaie seulement de t'aider
nɔ we yɔmɛ̀,dans le sexe de ta mère
e ɖi ga sɔ mì ă,il n'est pas si grand que moi
e nyɔ́ sɔ̀ mɔ̆ ă,ce n'est pas si bon que cela
nu ma jawe a,si je n'arrive pas
etɔn wɛ,c'est le sien
e kwín kwín,il a sifflé
é mì wun n'í,il lui a fait signe des yeux
d'ălɔ mɛ̀ ɖò fí,signe ici
yé bi ni n'abɔ nu gán ɔ ni ɖɔ xó,qu'ils gardent tous le silence afin de prendre la parole
gbɛtɔ́ haya wɛ̀,c'est un homme simple
e má kó nyí mɔ̀ à ɔ́ na ɖɔ́ nú mi ɖɔ̀,sinon je vous l'aurais dit
un na nu ahan vivi,je boirai du sirop
sɔ zanzan gan ayizɛn mɛ,demain matin à six heures
e nɔ nu ahan mu ă,il est sobre
un na sɛ́ wèmá élɔ́ dó nɔ̀ví cé gbɔ̀n pósù,j'enverrai cette lettre à ma soeur par la poste
hwezivɔ wɛ zɔ́n bɔ̀ sinnu gblá sín mì,c'est la chaleur qui m'a donné soif
kɔ xu mi ă,je n'ai pas soif
un ɖɔ nu we ɖɔ kɔ kun xu mi o,je te dis que je n'ai pas soif
a gbɔ azɔn nu azinzɔnnɔ ɔ,tu as soigné le malade
mi nɔ wli bo nu wema mitɔn lɛ bo mi nɔ kplɔn nu ganji,nous soignons notre cahier et nous apprenons nos leçons
vi mimɛ ɖo awu mimɛ lɛ,les enfants soigneux ont des vêtements propres
kpé nukún wǔ cè,prends soin de moi
e sù gbadanu,a ce soir
sin zanzan wa yi gbadanu,du matin au soir
e na nyi mɛ elɔ alo mɛ ɖe ɔ,c'est soit l'un soit l'autre
kpɔwun we ɖɔla we,soixante francs
hwezivɔ kɔ́n,le soleil brille
sùn wlí hwè,il y a éclipse de soleil
avɔ towe dɛ kàn,ton pagne est solide
do syɛnsyɛn,un mur solide
xwé lĭ,la maison est solidement établie
é kpo ta,il n'a été sollicité par personne
wlɛnwin ɖevo ɖo na ɖe,il doit y avoir une autre solution
gbɛmɛ cí kpitiì,le temps est sombre
jìnúkúnsún dó zìnflú,le ciel est sombre
zìnflú dó gɔɔn dín,la nuit est très sombre
amlɔgɔ́ nɔ́ sín mì,j'ai sommeil
awii tɔn,son chat
vi tɔn wɛ,c'est son enfant
é xo an b'ɛ́ ɖɔ̀ kíwúngowùn,il a sonné et cela a fait kiwungowun
mi ɖo nu sɔ wɛ hwenuɖe hɔn ɖo nu ɔ,nous étions en train de nous préparer quand on a sonné à la porte
vì élɔ́ ɖò gbɛví hán dó wɛ̀,cet enfant n'est pas content de son sort
bo yi,sors de là
e tɔ́n sín tɔ̀ ɔ mɛ,il sortit de l'eau
go sín fí,sors d'ici
simpson nɔ tɔn kpodo ferguson kpo,monsieur simpson sort avec mademoiselle ferguson
un ɖi ɖɔ̀ é tɔ́n,je crois qu'il est sorti
wooó tɔ́n,l'harmattan est sorti
e gú bó cɔ̀n,il est trop sot
adi ci mì,j'ai des soucis
égbé tɔ́n kó wá yí nɛ́ é kpò sɔ tɔ̀n,les soucis d'aujourd'hui sont passés il reste ceux de demain
tagba flá dó mì,j'ai trop de soucis
ma kéya ná ó,ne t'en soucie pas
e sú gannú tɔ́n kpód'aflémú kpán,il a soudé son plat de métal avec de l'étain
é fún funfún dó jĭ cè,il a soufflé sur moi
jɔhɔn ɖò nyinyi wɛ dín,le vent souffle très fort
jɔhɔn nyì vuzuvuzù,le vent a soufflé avec fracas
a ná mɔ̀ awajíjɛ́ sɔ́ ɖò yajiji towe mɛ̀,tu découvriras la joie au sein même de ta souffrance
bɔ e ɖo ya nu mɛ lɛ,et ça fait souffrir les gens
hwezivɔ́ wέ ɖò nù wá xá mí wὲ,c'est le paludisme qui me fait souffrir
nɛgbe tɔn ɖo ya do n'ɛ wɛ,son dos le fait souffrir
xwe ɖokpó hwà ɖokpó,souhait de longue vie lors d'un anniversaire
é n'ágbɔ̆n ɛ̀,cela l'a soulagé
nù é jɛ̀ din ɔ zɔ bɔ̀ to ɔ́ bì ɖónyà,cet événement a soulevé tout le pays
un sè xó ɖé dó wŭ tɔ̀n ă,je n'ai aucun soupçon à son égard
e vɛ̀ nù dó kɔsí,on soupçonne kossi
e gɔ́n wɛ̀ gbɛnyɔ́ná bì nɔ́ gósín,c'est lui la source du bonheur
é nɔ́ se tónú ă,il est sourd
é ɖò nù kó wɛ́ nyɛ́wún nyɛ́wún,il sourit
ajaka lɛ nɔ nɔ kɔ glɔɛ,les rats vivent sous la terre
ɖo atin sa,sous un arbre
é ɖò távo ɔ́ glɔ́,il est sous la table
jikpamɛ ɔ ɖo sin gwle,le jardin était sous l'eau
vi ɔ ɖo zan ɔ gwlɛ,l'enfant est sous le lit
e flin n'i,elle se souvient de lui
e nɔ́ flín ì,il se souvient de lui
un sɔ flín ă,je ne m'en souviens plus
é ɖè kwɛ́ ɖò kwɛ́ mɛ̀ bó dŏ jlɔ́ kwɛ́ ɖĕvo ɖó,il a soutiré de l'argent d'une somme pour compléter une autre
nyaví nɛ́ ɔ́ nɔ́ sà xwexwè,ce garçon se tient souvent à l'écart
nukplɔnkplɔn vo,une leçon spéciale
ma na hɛn vlɛ ɔ na bɛ,le spectacle va commencer
e wá é ɖóɖónɔ́,il est venu spontanément
xúglòxú tɔ́n dó jĭ tɔ̀n,un squelette lui apparut
e hɛn atinkpikpa kpikpɛn ɖokpo ɖo alɔ tɔn lɛ mɛ,il tenait une lourde statuette dans les mains
un ɖò mɛ'sí,je suis un subalterne
é kú xwɛ́wún,il est mort subitement
dĭn è a dìn é ɔ́ hun xomɛ nú mì,je me réjouis de ton succès à l'examen
vi lɛ ɖo bonbon gbigbɔn wɛ,les enfants sucent des bonbons
tii elɔ vivi hu,ce thé est plus sucré
e kpé mɔ̆,cela suffit comme ça
gbocɔtɔ ɖokpo kpe wu bo na cɔ ye mɛ gege,un seul gardien suffit pour en conduire plusieurs
vì ɔ̀ kó ɖì ă,l'enfant n'est pas suffisamment développé
e ɖá zɛ̆nwì dó awu tɔn wú,il s'est mis de la suie sur son habit
yă wù kíyákíyá,viens tout de suite
é gbɛ́ ɖɔ̀ émí kún ná xwé dó mí ó,il a refusé de me suivre
un ná jὲ gùdó tówé,je te suis
agun ɔ má dó ta tɔn mɛ̀,la foule se divisa à son sujet
un wá gɔ̀n tówé dó xó ɔ́ wú,je viens te voir au sujet de l'affaire
kpo ɖ'é jí wɛ̀,c'est superflu
un ɖò mɛ'sí,je suis soumis à un supérieur
gbɛ̀gɔ́nú wɛ́ nú hwɛ́,tu n'es qu'en supplément
a na sa vo nú măwŭ,tu supplieras dieu
mĭ ɖò vo sa nú wé wɛ̀,nous te supplions
yi sà vo n'í ní wá,va le supplier de venir
e sú xójláwémá ɔ́ sín kún dó,on a supprimé le journal
akpa ví sìn,la plaie suppure
a na xa so ɖaxo ɔ ji,tu dois monter sur le grand rocher
aklúnɔ̀ mĭtɔn ɖu yà bó hwlɛ́n mì gán ɖ'aklúzu jí,notre seigneur a souffert et nous a sauvés sur la croix
awíi lɔ́n yì távo jí,le chat a sauté sur la table
din ɔ e ɖo xɔgbloada ɔ mɛ ɖo adisi mitɔn,alors c'est dans le hall sur votre droite
e ɖò kɔ́xo ta,il est sur la cour
é sú hɔ̀n dó mì,il a fermé la porte sur moi avec une intention hostile
măwù nà cɔ́ wè,dieu veillera sur toi
un gán jɛ̀ wùtú tɔ̀n,je compte sur lui
e bló hŭn,il l'a fait bien sûr
nyɛ wɛ wà mɔ̆ cɔcɔ̀,c'est moi bien sûr qui ai fait cela
e ná wá jέn wὲ,il viendra sûrement
e yi wan nu to ji gbigbɔn,il aimait faire du surf
nùɖíɖí ɔ́ hlɔ̀nhlɔ́n ɖé wɛ́ nyí bó hú găn jijɔ mĭtɔ̀n,la foi est une vertu surnaturelle
é fyán mì,cela m'a surpris
e kpácá mì,cela me surprend
fí e un nywɛ́ ayi yi dó ɔ́ é wɛ̀ zàn kú dó mí ɖé nɛ́,a l'endroit où s'arrêtait ma connaissance du pays c'est là que la nuit m'a surpris
un ɖo na ɖɔ ɖo nu we nyi bo kpaca mi,je dois dire que j'ai été plutôt surprise
e fɔ́n hawùn,il s'est réveillé en sursaut
é sí nù jéwún,il a sursauté soudain
ma nú xó tówé gbà gbà ó,surveille tes paroles
dò kókwé kan sɔ́ nyi gblɛlɛ̀,suspends le régime de bananes
dawe awovíɖolanmɛnánɔ́ ɖé wá kplétɛ̀n judéu lɛ́ tɔ́n hwenɛ́nú bó jɛ̀ xósú jí trílí ɖɔ̀,et aussitôt il y avait dans leur synagogue un homme possédé d'un esprit impur qui cria en disant
távò jogijogi wɛ̀,c'est une très grande table
azɔ̀ kínkán wὲ e nɔ wà,il travaille à la tâche
ma và sɛn dó awu towe wú ó,ne tache pas ta chemise avec la peinture
tέn kpɔ́n bó bló,tâche de le faire
vὲ bó bló,tâche de le faire
e kpé jĭ tɔ̀n ă,ce n'est pas à sa taille
a ɖo nuwlannu towe kpa wɛ,tu tailles ton crayon
a nyɔ xó hɛn xomɛ̀ ă,tu ne sais pas te taire
nù cé sù nukún tɔ́n mɛ̀,il est envieux de mes talents
e ta linfín,elle a tamisé de la farine
e ná tò ɖĕ hŭn é tò,tant pis
gàn ná kó vɔ́ ɖ'así cè à ɔ́ un na bló jɛ́n wɛ̀,tant que je le pourrai je le ferai
hweɖénú ɔ́ é nɔ́ ya'vĭ hweɖénú ɔ́ é nɔ́ kò nŭ,tantôt il pleure tantôt il rit
e ɖo vi tɔn xo wɛ,il est en train de taper son enfant
nyɔnu ɖe lɛ nɔ sɛn asu etɔn lɛ asu ɖe lɛ nɔ xo asi etɔn lɛ,certaines femmes respectent leurs maris d'autres maris tapent leurs femmes
e ká kó yá ɔ́ a na sè xɔxɔ tɔ̀n,tôt ou tard tu en subiras les conséquences
hwenu din,il est tard
e lin co bo mɔ nuwlannu ɔ,il ne tarda pas à trouver le crayon
un ze yovoslɔ sin anyan jawe,j'apporte une tarte aux pommes
é blá kwɛ́ ɔ́ b'ɛ́ cí tiwùn,il a attaché l'argent et c'était bien tassé
sɔ ɔ mi nɔ te kpɔn taxi nu ceju ko,hier nous avons attendu un taxi pendant vingt minutes
măwù ní cyɔ́n alɔ jĭ wè,que dieu te protège
é jɛ̀ aglungwìn,il a la teigne
vĭ vɔvɔ nyɛminyɛ́mí ɖé wɛ̀,c'est un enfant au teint rouge clair
e blo ganxixo we din bo a ɖo kan tɛ wɛ,cela fait deux heures que tu téléphones
vi lɛ ɖo gbavinukpɛnnɔ on kpa,les enfants sont à côté de la télévision
e ná lín sɔ̀ mɔ̆ ă,ca ne tardera pas tellement
yɔ̀ ɖù nŭ káká bo zɔ̀n tɔ́tɔ́ yí xwé,yo mangea tellement que le poids de son ventre l'obligea à marcher plié en deux jusqu'à la maison
jɔhɔn ɖaxo,tempête
đ'ayi ɔ hwenu ɖe zan ma nyi nuɖe se zinflu wu a ɖo sun nɔ ɔ ta ɖo ji tɔn hwenɛnu a nyɔnuvi kpɛvi nɔ nɔ gle ɖe ta bo nɔ nyi boako,autrefois au temps où la nuit n'était qu'une obscurité impénétrable car la lune ne l'éclairait pas encore une jeune fille nommée boako vivait dans un village
e nɔ̀ zaan ɖé ɔ́,il reste un peu de temps
gan mɛ kpo nu mi,nous avons le temps
hwenu ce su,mon temps est arrivé
hwenu kpo,il reste du temps
mi ɖo gan mɛ mitɔn bi,nous avions tout notre temps
un gú hwenu cè,j'ai perdu mon temps
un vò ă,je n'ai pas le temps
ye kupe din ɔ yé na lɛ na din,on coupe maintenant et on redonne des fois en même temps
